TA_F,SW_IN_F,LW_IN_F,LW_OUT,VPD_F,PA_F,WS_F,NETRAD,G_F_MDS,LE_F_MDS,SWC_F_MDS_1_QC,SWC_F_MDS_1,AET_MS,SWI,PET_P,PET_PT,PET_PM,PET_HS,PET_OD,PET_Ham,PET_TH,PET_BR,AET_NLF1_P,AET_NLF1_PM,AET_NLF1_PT,AET_NLF1_HS,AET_NLF1_OD,AET_NLF1_Ham,AET_NLF1_TH,AET_NLF1_BR,AET_NLF2_P,AET_NLF2_PM,AET_NLF2_PT,AET_NLF2_HS,AET_NLF2_OD,AET_NLF2_Ham,AET_NLF2_TH,AET_NLF2_BR,AET_NLF3_P,AET_NLF3_PM,AET_NLF3_PT,AET_NLF3_HS,AET_NLF3_OD,AET_NLF3_Ham,AET_NLF3_TH,AET_NLF3_BR,AET_NLF4_P,AET_NLF4_PM,AET_NLF4_PT,AET_NLF4_HS,AET_NLF4_OD,AET_NLF4_Ham,AET_NLF4_TH,AET_NLF4_BR,AET_lf_P,AET_lf_PM,AET_lf_PT,AET_lf_HS,AET_lf_OD,AET_lf_Ham,AET_lf_TH,AET_lf_BR,AET_PF_P,AET_PF_PM,AET_PF_PT,AET_PF_HS,AET_PF_OD,AET_PF_Ham,AET_PF_TH,AET_PF_BR,AET_B1963_P,AET_B1963_PM,AET_B1963_PT,AET_B1963_HS,AET_B1963_OD,AET_B1963_Ham,AET_B1963_TH,AET_B1963_BR,AET_G1989_P,AET_G1989_PM,AET_G1989_PT,AET_G1989_HS,AET_G1989_OD,AET_G1989_Ham,AET_G1989_TH,AET_G1989_BR,AET_B2015_P,AET_B2015_PM,AET_B2015_PT,AET_B2015_HS,AET_B2015_OD,AET_B2015_Ham,AET_B2015_TH,AET_B2015_BR,AET_M2015_P,AET_M2015_PM,AET_M2015_PT,AET_M2015_HS,AET_M2015_OD,AET_M2015_Ham,AET_M2015_TH,AET_M2015_BR
24.97,122.633,416.766,441,3.609,100.217,1.553,140,0,24.1716,0,11,9.865959184,0.44,1.622757655,3.455011654,1.417406263,2.656975266,1.568384842,1.357149721,3.656023162,2.119796,1.622757655,1.417406263,3.455011654,2.656975266,1.568384842,1.357149721,3.656023162,2.119796,1.622757655,1.417406263,3.455011654,2.656975266,1.568384842,1.357149721,3.656023162,2.119796,0.714013368,0.6236587556,1.520205128,1.169069117,0.6900893305,0.597145877,1.608650191,0.93271024,1.617835741,1.413107192,3.444532414,2.648916514,1.563627845,1.353033411,3.644934243,2.113366542,27.50401221,27.42702226,28.17783566,18.20488797,30.37979278,30.58634743,26.20632572,15.74163958,1.622757655,1.417406263,3.455011654,2.656975266,1.568384842,1.357149721,3.656023162,2.119796,5.287265654,5.492617046,3.455011654,4.253048043,5.341638467,5.552873588,3.254000147,4.790227309,12.64746116,12.72010645,11.99928142,12.28159545,12.66669613,12.74142285,11.92817141,12.47162845,-2.075017843,-5.77354797,3.455011654,3.094687206,-2.865952287,-7.322605513,3.443383104,1.816140329,18.72379499,20.43505658,3.455011654,10.10531489,19.17690176,20.93719444,1.779915759,14.58180877
25.793,226.251,414.441,441,5.61,100.296,0.709,140,0,23.2257,0,11,9.479877551,0.44,1.661170054,3.722113277,1.489771932,2.967916199,1.650490187,1.425132534,4.006030037,2.502432,1.661170054,1.489771932,3.722113277,2.967916199,1.650490187,1.425132534,4.006030037,2.502432,1.661170054,1.489771932,3.722113277,2.967916199,1.650490187,1.425132534,4.006030037,2.502432,0.7309148235,0.65549965,1.637729842,1.305883127,0.7262156823,0.6270583152,1.762653216,1.10107008,1.656131634,1.485253372,3.710823903,2.958914346,1.64548416,1.420810029,3.993879528,2.494841986,28.15506142,28.82730874,30.35622068,20.33537255,31.97018265,32.11848934,28.71517038,18.58310074,1.661170054,1.489771932,3.722113277,2.967916199,1.650490187,1.425132534,4.006030037,2.502432,5.7830565,5.954454621,3.722113277,4.476310355,5.793736366,6.019094019,3.438196516,4.941794553,14.12948775,14.18763793,13.43027229,13.68614846,14.13311111,14.20956811,13.33394796,13.84407312,-3.547538925,-7.140947951,3.722113277,3.445584477,-3.728644398,-8.977624517,3.701333021,2.680077038,20.89664014,22.32495782,3.722113277,10.00708893,20.98563902,22.86361946,1.356140272,13.88612392
26.628,275.455,414.551,441,7.861,100.194,0.656,140,0,28.5265,0,11,11.64346939,0.44,1.737528224,4.011736044,1.539196557,3.012237269,1.738186497,1.49712122,4.430668607,2.621537,1.737528224,1.539196557,4.011736044,3.012237269,1.738186497,1.49712122,4.430668607,2.621537,1.737528224,1.539196557,4.011736044,3.012237269,1.738186497,1.49712122,4.430668607,2.621537,0.7645124184,0.677246485,1.765163859,1.325384398,0.7648020588,0.6587333366,1.949494187,1.15347628,1.732258205,1.534528089,3.999568229,3.003100988,1.732914482,1.492580369,4.417230146,2.613585734,29.449251,29.78368259,32.71828008,20.63904874,33.66887015,33.74091235,31.75897404,19.4675764,1.737528224,1.539196557,4.011736044,3.012237269,1.738186497,1.49712122,4.430668607,2.621537,6.285943865,6.484275532,4.011736044,5.01123482,6.285285591,6.526350869,3.592803482,5.401935089,15.80364402,15.86803795,15.06525877,15.38977403,15.80343029,15.88169888,14.92924058,15.51662581,-4.765179676,-9.578217475,4.011736044,3.499455105,-4.752736485,-10.94534806,3.971973154,2.676394164,22.96346788,24.61623177,4.011736044,12.34089251,22.95798227,24.96685958,0.5206313555,15.59672808
24.996,182.785,411.74,441,3.849,100.169,0.672,140,0,24.1716,0,11,9.865959184,0.44,1.590527333,3.462702306,1.445026937,3.20996767,1.570915117,1.359253352,3.666174956,2.671712,1.590527333,1.445026937,3.462702306,3.20996767,1.570915117,1.359253352,3.666174956,2.671712,1.590527333,1.445026937,3.462702306,3.20996767,1.570915117,1.359253352,3.666174956,2.671712,0.6998320264,0.6358118522,1.523589015,1.412385775,0.6912026516,0.5980714749,1.613116981,1.17555328,1.585703176,1.440644091,3.45219974,3.200231662,1.566150446,1.355130662,3.655055246,2.663608551,26.95774262,27.96148642,28.24055786,21.99384487,30.4288045,30.63375738,26.27909365,19.84017677,1.590527333,1.445026937,3.462702306,3.20996767,1.570915117,1.359253352,3.666174956,2.671712,5.334877279,5.480377675,3.462702306,3.715436942,5.354489495,5.56615126,3.259229656,4.253692612,12.70724803,12.75862628,12.04615652,12.1354007,12.71417338,12.78891415,11.97430745,12.3254664,-2.588291642,-5.229534333,3.462702306,3.438458006,-2.887343798,-7.364638776,3.450827441,3.111984009,19.06416042,20.27666372,3.462702306,5.568824269,19.22759554,20.99144359,1.76709689,10.05428819
25.368,184.239,412.613,441,4.837,100.217,1.194,140,0,23.2257,0,11,9.479877551,0.44,1.659809275,3.58142142,1.469364515,3.141265058,1.607567757,1.389664345,3.817664352,2.634959,1.659809275,1.469364515,3.58142142,3.141265058,1.607567757,1.389664345,3.817664352,2.634959,1.659809275,1.469364515,3.58142142,3.141265058,1.607567757,1.389664345,3.817664352,2.634959,0.7303160812,0.6465203868,1.575825425,1.382156626,0.7073298131,0.6114523118,1.679772315,1.15938196,1.654774983,1.464907852,3.570558773,3.131737429,1.602691916,1.385449417,3.806085167,2.626967025,28.13199768,28.43242219,29.20878837,21.52311284,31.1387703,31.31913585,27.36496764,19.56724839,1.659809275,1.469364515,3.58142142,3.141265058,1.607567757,1.389664345,3.817664352,2.634959,5.503033565,5.693478325,3.58142142,4.021577782,5.555275084,5.773178496,3.345178488,4.527883841,13.34125825,13.4072536,12.67535667,12.82788528,13.35936165,13.43487232,12.59349076,13.00333692,-2.461838946,-5.982453147,3.58142142,3.501484056,-3.261485384,-8.082565968,3.566163105,3.043978001,19.59485596,21.18189563,3.58142142,7.249391104,20.03020195,21.84606372,1.612730322,11.46860826
25.465,190.167,411.666,441,4.938,100.361,1.2,140,0,28.5265,0,11,11.64346939,0.44,1.665075371,3.614236067,1.473483627,3.253352739,1.617264799,1.397690927,3.859163304,2.753411,1.665075371,1.473483627,3.614236067,3.253352739,1.617264799,1.397690927,3.859163304,2.753411,1.665075371,1.473483627,3.614236067,3.253352739,1.617264799,1.397690927,3.859163304,2.753411,0.7326331633,0.648332796,1.590263869,1.431475205,0.7115965117,0.6149840079,1.698031854,1.21150084,1.660025106,1.469014471,3.603273891,3.243485141,1.612359546,1.393451654,3.84745825,2.745059753,28.22125239,28.51212762,29.47641286,22.29110782,31.32660311,31.50003249,27.66243158,20.44687487,1.665075371,1.473483627,3.614236067,3.253352739,1.617264799,1.397690927,3.859163304,2.753411,5.563396763,5.754988507,3.614236067,3.975119395,5.611207335,5.830781207,3.36930883,4.475061134,13.50646737,13.57262258,12.83343662,12.95804696,13.522976,13.59879324,12.74886506,13.13067314,-2.628540589,-6.260099301,3.614236067,3.563835314,-3.374147217,-8.295969872,3.598041881,3.2053225,19.85724187,21.45383973,3.614236067,6.621597135,20.2556633,22.08544557,1.573175759,10.78777829
25.456,196.767,414.815,441,4.836,100.357,0.773,140,0,24.1716,0,11,9.865959184,0.44,1.63513452,3.611266043,1.469922972,2.903501753,1.616362617,1.396944496,3.855276766,2.408757,1.63513452,1.469922972,3.611266043,2.903501753,1.616362617,1.396944496,3.855276766,2.408757,1.63513452,1.469922972,3.611266043,2.903501753,1.616362617,1.396944496,3.855276766,2.408757,0.7194591887,0.6467661075,1.588957059,1.277540771,0.7111995516,0.614655578,1.696321777,1.05985308,1.630175067,1.465464615,3.600312874,2.894695273,1.611460101,1.392707486,3.8435835,2.401451108,27.71378688,28.4432284,29.4521904,19.8940219,31.30912774,31.48321002,27.63457293,17.88746866,1.63513452,1.469922972,3.611266043,2.903501753,1.616362617,1.396944496,3.855276766,2.408757,5.587397565,5.752609113,3.611266043,4.319030332,5.606169468,5.825587589,3.367255319,4.813775085,13.50054091,13.55761153,12.8179067,13.06239655,13.50702547,13.58282119,12.73361571,13.23330102,-3.061154242,-6.311889015,3.611266043,3.364657758,-3.364312379,-8.277172977,3.595173337,2.549331042,20.07902873,21.45579163,3.611266043,9.509301791,20.23546125,22.0639456,1.577843344,13.63217473
26.052,240.369,417.175,441,5.755,100.279,0.441,140,0,23.2257,0,11,9.479877551,0.44,1.650517079,3.809838294,1.491001264,2.678215212,1.677207699,1.447132007,4.129556923,2.245089,1.650517079,1.491001264,3.809838294,2.678215212,1.677207699,1.447132007,4.129556923,2.245089,1.650517079,1.491001264,3.809838294,2.678215212,1.677207699,1.447132007,4.129556923,2.245089,0.726227515,0.656040556,1.67632885,1.178414693,0.7379713877,0.6367380831,1.817005046,0.98783916,1.645510971,1.486478975,3.798282846,2.670092038,1.672120636,1.442742776,4.11703175,2.238279522,27.97450487,28.85109649,31.07167446,18.35041843,32.4877039,32.61429574,29.60060946,16.67206743,1.650517079,1.491001264,3.809838294,2.678215212,1.677207699,1.447132007,4.129556923,2.245089,5.969159509,6.128675325,3.809838294,4.941461377,5.942468889,6.172544582,3.490119666,5.374587589,14.63978405,14.6931761,13.91703069,14.2957999,14.63085034,14.70785972,13.81001664,14.44077296,-4.517175694,-8.230604474,3.809838294,3.013557771,-4.028981885,-9.554264597,3.784473232,1.582305738,21.80418175,23.13348022,3.809838294,13.24003065,21.58175992,23.49905735,1.145516391,16.84941575
26.958,268.896,409.043,441,7.36,100.137,0.798,140,0,28.5265,0,11,11.64346939,0.44,1.738773502,4.131975082,1.54445524,3.666568747,1.7741161,1.526433325,4.621319283,3.273719,1.738773502,1.54445524,4.131975082,3.666568747,1.7741161,1.526433325,4.621319283,3.273719,1.738773502,1.54445524,4.131975082,3.666568747,1.7741161,1.526433325,4.621319283,3.273719,0.7650603409,0.6795603055,1.818069036,1.613290249,0.7806110838,0.6716306628,2.033380484,1.44043636,1.733499707,1.539770822,4.119442575,3.655447843,1.768735108,1.521803569,4.607302568,3.263789631,29.47035714,29.88543889,33.69890654,25.12235402,34.36483064,34.40152497,33.12555556,24.31069054,1.738773502,1.54445524,4.131975082,3.666568747,1.7741161,1.526433325,4.621319283,3.273719,6.525176661,6.719494924,4.131975082,4.597381416,6.489834064,6.737516839,3.642630881,4.990231164,16.52774376,16.58974259,15.76417325,15.91266495,16.51646742,16.59549263,15.60804399,16.03800687,-5.927818127,-11.18917871,4.131975082,4.05639851,-5.2062454,-11.81797998,4.080675084,3.80496776,24.07532158,25.69464043,4.131975082,8.010361202,23.78079993,25.84482306,0.05410674195,11.2841091
27.86,267.253,413.95,441,8.451,100.029,1.38,140,0,24.1716,0,11,9.865959184,0.44,1.83847851,4.479281694,1.619475663,3.166112441,1.876158484,1.609118205,5.221504703,2.88047,1.83847851,1.619475663,4.479281694,3.166112441,1.876158484,1.609118205,5.221504703,2.88047,1.83847851,1.619475663,4.479281694,3.166112441,1.876158484,1.609118205,5.221504703,2.88047,0.8089305445,0.7125692918,1.970883945,1.393089474,0.825509733,0.7080120104,2.297462069,1.2674068,1.832902304,1.614563705,4.465695786,3.156509448,1.870467992,1.604237662,5.205667593,2.871733376,31.16025073,31.33709526,36.53141468,21.6933605,36.34140323,36.26501022,37.42767673,21.39041707,1.83847851,1.619475663,4.479281694,3.166112441,1.876158484,1.609118205,5.221504703,2.88047,7.120084877,7.339087724,4.479281694,5.792450946,7.082404903,7.349445182,3.737058684,6.078093387,18.63458102,18.7012463,17.83071079,18.23044436,18.6231111,18.70439914,17.60477537,18.31739497,-7.46471853,-14.12471599,4.479281694,3.577922411,-6.614192139,-14.53217531,4.379456846,2.841775549,26.48597489,28.31099861,4.479281694,15.4223588,26.17197511,28.39731076,-1.705910051,17.80271247
